日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/01/02,"7,381,334","611,742,781",83.80,83.80,82.50,82.80,-0.40,"4,304"
109/01/03,"11,206,834","917,638,679",83.80,83.80,80.80,81.80,-1.00,"5,403"
109/01/06,"15,008,274","1,184,292,769",80.80,80.80,78.20,78.70,-3.10,"7,060"
109/01/07,"8,119,366","637,414,380",79.00,79.40,78.00,78.70, 0.00,"3,636"
109/01/08,"8,384,294","652,886,493",78.00,78.60,77.40,77.40,-1.30,"4,337"
109/01/09,"9,771,414","778,269,259",78.80,80.30,78.30,79.80,+2.40,"4,673"
109/01/10,"5,780,955","458,116,302",80.00,80.30,78.70,79.60,-0.20,"3,319"
109/01/13,"7,143,559","571,017,086",79.90,80.70,79.30,80.70,+1.10,"3,159"
109/01/14,"7,691,161","623,212,589",81.00,81.40,80.70,81.20,+0.50,"3,875"
109/01/15,"8,096,612","658,259,732",81.50,82.20,80.90,81.10,-0.10,"3,713"
109/01/16,"10,366,247","821,612,815",80.00,80.00,78.70,79.30,-1.80,"5,431"
109/01/17,"8,246,547","652,202,105",79.40,79.70,78.60,79.30, 0.00,"3,404"
109/01/20,"5,678,179","449,028,041",79.70,79.70,78.90,79.00,-0.30,"2,635"
109/01/30,"17,419,693","1,303,661,864",77.00,77.10,73.60,74.10,-4.90,"7,520"
109/01/31,"11,150,348","828,531,737",73.70,75.00,73.60,74.60,+0.50,"5,365"
109/02/03,"25,164,563","1,817,741,453",72.80,73.00,70.90,72.80,-1.80,"8,579"
109/02/04,"11,487,904","842,933,004",72.00,74.50,72.00,73.70,+0.90,"4,190"
109/02/05,"10,396,521","778,573,375",74.10,75.70,73.70,74.80,+1.10,"5,423"
109/02/06,"10,110,570","780,811,362",75.50,78.10,75.50,77.90,+3.10,"4,565"
109/02/07,"10,288,433","773,416,203",75.30,75.90,74.60,74.80,-3.10,"4,887"
109/02/10,"10,454,750","778,285,036",73.30,75.20,73.10,74.90,+0.10,"4,538"
109/02/11,"7,238,632","551,187,033",75.20,76.60,75.20,76.20,+1.30,"3,466"
109/02/12,"11,489,747","893,418,717",76.50,78.50,76.50,77.50,+1.30,"5,623"
109/02/13,"5,902,461","458,461,310",77.60,78.40,77.40,77.50, 0.00,"2,988"
109/02/14,"5,193,063","401,717,747",77.20,77.90,77.00,77.40,-0.10,"2,268"
109/02/17,"3,146,653","241,138,861",76.40,77.00,76.20,76.70,-0.70,"1,855"
109/02/18,"13,861,219","1,045,498,422",76.00,76.30,74.90,75.60,-1.10,"4,904"
109/02/19,"8,606,956","658,992,530",74.70,77.90,74.70,76.40,+0.80,"3,905"
109/02/20,"4,447,323","337,996,101",77.40,77.40,75.30,75.60,-0.80,"2,367"
109/02/21,"3,462,318","261,397,592",75.20,76.10,75.10,75.20,-0.40,"1,967"
109/02/24,"8,906,650","660,388,217",74.00,75.00,73.60,73.90,-1.30,"4,086"
109/02/25,"8,066,451","595,475,965",73.10,74.50,72.90,73.50,-0.40,"4,224"
109/02/26,"10,070,670","733,646,624",72.30,73.50,72.30,72.80,-0.70,"4,987"
109/02/27,"15,272,886","1,096,641,732",72.40,72.70,71.30,71.30,-1.50,"4,406"
109/03/02,"11,854,795","831,868,179",69.00,71.20,69.00,70.10,-1.20,"5,287"
109/03/03,"12,997,366","938,739,134",71.00,72.90,71.00,72.50,+2.40,"5,300"
109/03/04,"5,401,197","390,499,342",71.90,72.70,71.80,72.50, 0.00,"2,561"
109/03/05,"8,593,073","630,003,448",73.00,73.90,72.20,73.60,+1.10,"4,016"
109/03/06,"8,366,556","598,314,057",72.60,72.70,71.10,71.50,-2.10,"4,096"
109/03/09,"14,316,092","990,338,527",69.10,69.80,68.30,68.90,-2.60,"5,871"
109/03/10,"10,227,702","693,521,067",67.40,68.80,66.60,68.00,-0.90,"4,762"
109/03/11,"10,755,001","735,752,647",68.20,69.30,67.30,67.30,-0.70,"4,969"
109/03/12,"20,674,114","1,315,205,782",66.70,66.70,61.90,62.70,-4.60,"9,022"
109/03/13,"25,759,738","1,526,693,676",61.60,61.60,57.40,61.00,-1.70,"9,644"
109/03/16,"18,705,449","1,122,436,610",60.50,61.00,59.30,59.30,-1.70,"7,183"
